customer_id,activation_date,branch_code,country,customer_type,onboarding_channel,date_of_birth,gender,status
C01000001,2025-08-02,B015,ZM,Retail,Branch,1997-11-21,F,Active
C01000002,2022-08-17,B004,ZM,Retail,ATM,1991-10-16,M,Active
C01000003,2022-02-21,B005,ZM,Retail,USSD,1971-06-08,M,Active
C01000004,2023-07-18,B015,ZM,SME,App,1996-02-04,M,Dormant
C01000005,2023-05-17,B003,ZM,Retail,ATM,2009-12-18,F,Active
C01000006,2023-04-03,B020,ZM,Retail,Web,1981-08-29,F,Active
C01000007,2022-10-13,B005,ZM,Retail,App,1986-04-27,M,Active
C01000008,2022-07-29,B005,ZM,Retail,Branch,1970-09-05,M,Active
C01000009,2025-10-17,B015,ZM,Retail,Web,1990-03-20,F,Active
C01000010,2025-01-21,B002,ZM,Retail,App,1990-03-15,F,Active
C01000011,2022-06-28,B003,ZM,Retail,Web,2013-01-23,F,Active
C01000012,2025-04-24,B015,ZM,Retail,Branch,2014-08-12,F,Active
C01000013,2024-05-14,B003,ZM,SME,ATM,1969-09-01,M,Dormant
C01000014,2022-03-07,B003,ZM,Retail,Web,1964-01-22,F,Active
C01000015,2022-03-03,B020,ZM,Retail,ATM,1966-08-13,F,Active
C01000016,2022-07-11,B005,ZM,Retail,Branch,1991-11-05,F,Active
C01000017,2023-03-24,B004,ZM,Retail,Branch,2000-04-09,F,Active
C01000018,2023-04-22,B020,ZM,Retail,Web,1996-09-06,M,Active
C01000019,2024-10-31,B020,ZM,Premium,Web,2000-05-07,M,Active
C01000020,2025-05-17,B003,ZM,Retail,Branch,1999-02-01,M,Active
C01000021,2022-02-24,B010,ZM,SME,Web,1985-12-14,F,Active
C01000022,2025-02-23,B005,ZM,Retail,Web,2002-10-20,F,Active
C01000023,2023-02-12,B002,ZM,Retail,Web,1972-01-28,M,Dormant
C01000024,2026-01-06,B020,ZM,Retail,Agent,1976-06-16,M,Active
C01000025,2025-08-23,B004,ZM,Retail,Web,2012-11-21,F,Dormant
C01000026,2025-12-07,B010,ZM,Retail,App,2005-09-12,F,Dormant
C01000027,2025-01-21,B010,ZM,SME,Branch,1967-07-08,M,Active
C01000028,2024-05-09,B002,ZM,Retail,Branch,1973-08-29,F,Closed
C01000029,2023-03-28,B020,ZM,SME,USSD,1960-09-12,M,Active
C01000030,2024-07-08,B004,ZM,SME,ATM,2013-04-01,F,Active
C01000031,2025-04-21,B005,ZM,Retail,USSD,2013-03-16,M,Active
C01000032,2023-07-24,B001,ZM,Retail,Web,1993-03-08,F,Active
C01000033,2022-01-14,B004,ZM,Retail,Web,2000-09-08,F,Active
C01000034,2022-11-23,B002,ZM,Premium,App,1994-01-13,F,Active
C01000035,2025-11-30,B010,ZM,Retail,App,1988-09-30,M,Active
C01000036,2024-05-15,B005,ZM,Retail,App,1999-05-07,F,Active
C01000037,2023-11-28,B004,ZM,Retail,App,1975-11-08,F,Active
C01000038,2023-07-24,B001,ZM,Retail,App,2005-08-20,F,Active
C01000039,2022-11-15,B001,ZM,Retail,App,2012-10-04,M,Active
C01000040,2023-03-17,B003,ZM,Retail,App,1985-01-21,F,Active
C01000041,2023-11-21,B003,ZM,Retail,App,1968-09-10,M,Active
C01000042,2022-07-29,B015,ZM,Retail,Agent,1980-11-01,F,Dormant
C01000043,2022-07-09,B002,ZM,Retail,App,1986-09-04,M,Active
C01000044,2024-02-18,B020,ZM,Retail,Branch,2004-04-03,M,Active
C01000045,2022-07-18,B004,ZM,Retail,App,1990-08-08,F,Active
C01000046,2024-01-06,B004,ZM,Retail,ATM,1964-05-01,M,Active
C01000047,2023-12-06,B020,ZM,Retail,App,2010-08-11,F,Active
C01000048,2025-05-21,B015,ZM,Retail,Agent,2006-06-11,F,Active
C01000049,2023-06-26,B010,ZM,Retail,Web,2007-02-12,F,Active
C01000050,2022-03-30,B010,ZM,Retail,Agent,2012-01-07,F,Active
C01000051,2026-02-03,B015,ZM,Retail,Agent,2005-08-05,M,Active
C01000052,2024-07-29,B010,ZM,Retail,Web,1998-04-12,M,Active
C01000053,2025-01-03,B003,ZM,Retail,App,1985-08-04,M,Active
C01000054,2022-09-13,B004,ZM,SME,App,1988-12-16,M,Active
C01000055,2024-02-15,B015,ZM,SME,Web,1994-06-16,M,Active
C01000056,2022-06-11,B004,ZM,SME,ATM,1988-07-31,F,Active
C01000057,2025-02-04,B020,ZM,Retail,USSD,1976-01-03,F,Closed
C01000058,2023-08-24,B001,ZM,Retail,Branch,1972-11-05,M,Closed
C01000059,2025-07-11,B003,ZM,Retail,Web,1963-10-06,M,Active
C01000060,2025-06-20,B005,ZM,Retail,App,1978-11-25,F,Active
C01000061,2024-01-11,B003,ZM,Retail,Branch,1998-08-16,M,Active
C01000062,2025-03-28,B015,ZM,Retail,App,2006-07-29,M,Active
C01000063,2023-01-29,B005,ZM,SME,USSD,1984-12-17,M,Active
C01000064,2025-12-13,B001,ZM,Retail,USSD,2011-08-07,M,Active
C01000065,2022-05-23,B015,ZM,Retail,Web,1988-03-15,F,Active
C01000066,2022-04-04,B002,ZM,Retail,Branch,1968-12-03,F,Active
C01000067,2025-09-16,B004,ZM,Retail,Agent,1991-02-28,M,Closed
C01000068,2023-04-12,B001,ZM,Retail,Branch,1985-07-20,F,Active
C01000069,2023-08-16,B004,ZM,SME,Agent,1974-11-09,M,Dormant
C01000070,2022-06-13,B010,ZM,Retail,USSD,1970-08-20,F,Closed
C01000071,2023-04-22,B002,ZM,SME,App,1985-10-28,M,Active
C01000072,2022-07-26,B002,ZM,Retail,Agent,1984-07-26,F,Active
C01000073,2024-02-18,B001,ZM,SME,Agent,2003-08-29,F,Active
C01000074,2023-07-24,B002,ZM,Retail,Web,1999-05-18,F,Active
C01000075,2024-07-17,B005,ZM,Retail,ATM,1980-01-24,M,Active
C01000076,2025-07-25,B002,ZM,Retail,USSD,1975-03-11,F,Active
C01000077,2024-01-18,B004,ZM,Retail,Agent,1985-11-17,F,Dormant
C01000078,2022-11-30,B004,ZM,Premium,USSD,1983-04-10,M,Dormant
C01000079,2024-01-29,B015,ZM,Retail,Web,2014-05-19,M,Active
C01000080,2023-12-29,B004,ZM,Retail,App,1969-07-09,M,Active
C01000081,2023-03-06,B015,ZM,Premium,Branch,1980-10-13,M,Active
C01000082,2025-10-04,B004,ZM,Retail,USSD,1984-12-30,M,Active
C01000083,2023-07-01,B005,ZM,Retail,Web,1972-08-25,F,Active
C01000084,2025-12-08,B020,ZM,Retail,Web,1968-08-10,M,Active
C01000085,2025-10-31,B015,ZM,Retail,Web,1978-07-22,M,Active
C01000086,2025-08-20,B003,ZM,SME,Branch,2009-07-15,F,Active
C01000087,2022-05-27,B010,ZM,Retail,USSD,2005-08-21,M,Active
C01000088,2025-06-01,B001,ZM,Retail,Agent,1975-02-23,M,Dormant
C01000089,2025-07-24,B004,ZM,Retail,Web,1962-06-15,F,Dormant
C01000090,2022-12-17,B002,ZM,SME,Branch,2013-09-07,F,Active
C01000091,2024-12-29,B020,ZM,Retail,App,1963-07-26,M,Active
C01000092,2026-02-02,B004,ZM,SME,ATM,2008-06-06,M,Active
C01000093,2023-05-17,B002,ZM,Retail,USSD,2008-04-04,F,Dormant
C01000094,2022-12-01,B010,ZM,Retail,Branch,1977-07-04,M,Active
C01000095,2024-08-04,B010,ZM,Premium,ATM,1960-08-06,F,Closed
C01000096,2024-02-17,B010,ZM,Retail,ATM,2003-10-24,F,Active
C01000097,2023-07-07,B002,ZM,Retail,Branch,1962-04-24,F,Active
C01000098,2025-08-03,B004,ZM,Retail,Agent,1993-02-25,M,Active
C01000099,2025-11-10,B010,ZM,Retail,Agent,1978-03-23,M,Active
C01000100,2025-02-14,B005,ZM,Retail,Branch,1985-04-14,M,Active
C01000101,2023-03-26,B015,ZM,Premium,Branch,2011-03-29,F,Active
C01000102,2025-11-03,B002,ZM,SME,Web,1998-04-06,M,Active
C01000103,2023-10-27,B002,ZM,Retail,App,1999-11-28,M,Active
C01000104,2022-04-25,B004,ZM,Retail,Agent,2006-09-24,F,Dormant
C01000105,2023-04-15,B002,ZM,Retail,Web,1971-04-27,M,Active
C01000106,2022-03-07,B002,ZM,Retail,ATM,2000-09-18,M,Closed
C01000107,2023-10-09,B010,ZM,Retail,ATM,1986-06-17,F,Active
C01000108,2024-04-01,B004,ZM,SME,ATM,1969-10-31,F,Active
C01000109,2023-07-03,B010,ZM,Retail,Branch,1970-10-05,F,Dormant
C01000110,2022-05-16,B015,ZM,SME,USSD,1999-11-14,M,Active
C01000111,2023-03-09,B020,ZM,Retail,Web,1998-10-12,M,Closed
