interaction_id,customer_id,interaction_date,interaction_type,branch_code,channel
INT906050,C01000001,2028-07-20,App_Login,B015,ATM
INT557979,C01000001,2028-10-29,Branch_Visit,B015,Branch
INT535511,C01000001,2029-07-25,Branch_Visit,B015,USSD
INT845607,C01000001,2028-09-11,Branch_Visit,B015,Agent
INT755451,C01000001,2027-10-24,Branch_Visit,B015,USSD
INT540483,C01000001,2029-06-21,Customer_Care_Call,B015,USSD
INT718985,C01000001,2028-01-10,USSD_Session,B015,Branch
INT600919,C01000001,2028-04-23,Customer_Care_Call,B015,Branch
INT651225,C01000001,2028-07-01,Branch_Visit,B015,USSD
INT593157,C01000001,2026-02-07,Customer_Care_Call,B015,Agent
INT647868,C01000001,2027-11-13,App_Login,B015,Branch
INT936485,C01000001,2029-08-05,Customer_Care_Call,B015,USSD
INT578620,C01000002,2024-03-12,App_Login,B004,USSD
INT947835,C01000002,2024-06-09,Customer_Care_Call,B004,Web
INT985440,C01000002,2025-10-11,SMS_Received,B004,Branch
INT535295,C01000002,2025-09-23,Branch_Visit,B004,Branch
INT597778,C01000002,2026-05-18,Customer_Care_Call,B004,ATM
INT907019,C01000002,2026-07-02,App_Login,B004,Branch
INT994900,C01000002,2023-01-11,Branch_Visit,B004,Branch
INT766960,C01000002,2022-11-13,USSD_Session,B004,Web
INT998992,C01000002,2024-12-16,USSD_Session,B004,ATM
INT777278,C01000002,2024-08-08,USSD_Session,B004,Agent
INT960693,C01000002,2023-01-20,App_Login,B004,App
INT866458,C01000003,2022-08-15,App_Login,B005,Branch
INT675925,C01000003,2026-01-11,Customer_Care_Call,B005,Branch
INT946917,C01000003,2026-05-11,SMS_Received,B005,Branch
INT529861,C01000003,2022-05-16,Branch_Visit,B005,App
INT777011,C01000003,2024-09-18,Branch_Visit,B005,ATM
INT534346,C01000003,2023-12-28,Branch_Visit,B005,ATM
INT876750,C01000003,2022-09-07,Branch_Visit,B005,Agent
INT519002,C01000003,2023-01-02,Branch_Visit,B005,Branch
INT668524,C01000003,2025-06-26,SMS_Received,B005,Branch
INT953807,C01000003,2024-08-02,App_Login,B005,Agent
INT624181,C01000004,2023-09-09,App_Login,B015,Agent
INT743770,C01000004,2027-05-09,USSD_Session,B015,Agent
INT812541,C01000004,2024-02-24,Branch_Visit,B015,Branch
INT556252,C01000004,2027-01-22,USSD_Session,B015,Agent
INT538564,C01000004,2024-06-29,App_Login,B015,App
INT593204,C01000004,2027-09-11,Customer_Care_Call,B015,USSD
INT573296,C01000004,2024-10-21,Branch_Visit,B015,Web
INT557596,C01000004,2027-10-07,USSD_Session,B015,Agent
INT548990,C01000004,2025-03-08,SMS_Received,B015,Branch
INT702150,C01000005,2025-06-27,Branch_Visit,B003,Web
INT980744,C01000005,2027-03-28,SMS_Received,B003,USSD
INT565230,C01000005,2024-06-26,SMS_Received,B003,App
INT817656,C01000005,2024-05-31,Customer_Care_Call,B003,Web
INT676089,C01000005,2026-10-30,Branch_Visit,B003,USSD
INT747956,C01000005,2023-10-26,USSD_Session,B003,App
INT928833,C01000005,2027-05-05,App_Login,B003,Web
INT582679,C01000005,2026-05-07,Customer_Care_Call,B003,Branch
INT698833,C01000005,2025-08-30,App_Login,B003,Agent
INT583251,C01000005,2024-11-29,SMS_Received,B003,Agent
INT681134,C01000005,2025-11-10,USSD_Session,B003,ATM
INT835587,C01000005,2026-02-08,Customer_Care_Call,B003,ATM
INT985974,C01000005,2026-06-23,USSD_Session,B003,Agent
INT754257,C01000005,2025-04-02,USSD_Session,B003,Branch
INT805232,C01000005,2024-10-17,SMS_Received,B003,Branch
INT604352,C01000006,2027-02-28,USSD_Session,B020,ATM
INT927613,C01000006,2025-10-13,Customer_Care_Call,B020,Agent
INT505425,C01000006,2025-07-06,USSD_Session,B020,Branch
INT579265,C01000006,2024-01-19,Customer_Care_Call,B020,ATM
INT731356,C01000006,2027-01-21,USSD_Session,B020,Branch
INT923147,C01000006,2023-08-13,App_Login,B020,USSD
INT954704,C01000006,2025-11-28,App_Login,B020,ATM
INT527009,C01000006,2024-12-12,App_Login,B020,Web
INT797855,C01000006,2026-03-25,Branch_Visit,B020,Agent
INT546458,C01000006,2027-05-07,App_Login,B020,Agent
INT522699,C01000006,2025-06-20,Customer_Care_Call,B020,Branch
INT753389,C01000006,2025-12-14,App_Login,B020,Agent
INT795375,C01000006,2025-04-02,Customer_Care_Call,B020,USSD
INT851651,C01000006,2027-01-13,App_Login,B020,Agent
INT706635,C01000007,2024-09-26,SMS_Received,B005,USSD
INT563646,C01000007,2023-04-11,Customer_Care_Call,B005,Branch
INT956179,C01000007,2024-10-01,USSD_Session,B005,ATM
INT862773,C01000007,2024-08-07,Customer_Care_Call,B005,ATM
INT880709,C01000007,2023-10-01,Branch_Visit,B005,Agent
INT559491,C01000007,2025-11-05,SMS_Received,B005,Agent
INT855974,C01000007,2026-08-24,USSD_Session,B005,App
INT950953,C01000007,2023-09-07,Branch_Visit,B005,ATM
INT621153,C01000007,2024-12-17,USSD_Session,B005,Branch
INT533960,C01000007,2024-03-08,SMS_Received,B005,App
INT750865,C01000007,2025-01-29,Branch_Visit,B005,Branch
INT781861,C01000008,2023-05-14,Branch_Visit,B005,ATM
INT656335,C01000008,2026-05-15,Branch_Visit,B005,Agent
INT655187,C01000008,2026-10-02,Customer_Care_Call,B005,USSD
INT923790,C01000008,2025-10-08,SMS_Received,B005,App
INT618729,C01000008,2023-09-10,App_Login,B005,App
INT808869,C01000008,2023-02-01,SMS_Received,B005,USSD
INT605161,C01000008,2026-10-24,Customer_Care_Call,B005,ATM
INT568510,C01000008,2024-03-08,USSD_Session,B005,USSD
INT571619,C01000008,2025-09-01,Customer_Care_Call,B005,Web
INT937375,C01000008,2023-07-03,USSD_Session,B005,App
INT905227,C01000008,2025-10-30,USSD_Session,B005,App
INT540705,C01000008,2025-06-30,App_Login,B005,ATM
INT646372,C01000008,2022-12-27,Customer_Care_Call,B005,USSD
INT896863,C01000009,2027-01-26,SMS_Received,B015,Agent
INT750874,C01000009,2026-06-18,Customer_Care_Call,B015,Web
INT913411,C01000009,2026-02-13,USSD_Session,B015,USSD
INT722978,C01000009,2026-11-24,Branch_Visit,B015,App
INT520540,C01000009,2029-10-02,USSD_Session,B015,App
INT926586,C01000009,2028-05-16,USSD_Session,B015,Agent
INT971004,C01000009,2027-06-22,App_Login,B015,Web
